Título,Tema,idioma,FechaModificación,URL
A million news headlines,Linguistics,Inglés,23/01/2021,https://www.kaggle.com/therohk/million-headlines
Amazon Fine Food Reviews,Linguistics,Inglés,01/05/2017,https://www.kaggle.com/snap/amazon-fine-food-reviews
News Category Dataset,Linguistics,Inglés,02/12/2018,https://www.kaggle.com/rmisra/news-category-dataset
WALS dataset,Linguistics,Inglés,17/01/2020,https://www.kaggle.com/averkij/wals-dataset
goodreadsbooks,Linguistics,Inglés,09/03/2020,https://www.kaggle.com/jealousleopard/goodreadsbooks
ted talks,Linguistics,Inglés,25/09/2017,https://www.kaggle.com/rounakbanik/ted-talks
Code Mixed (Hindi-English) Dataset,Linguistics,Inglés,12/01/2018,https://www.kaggle.com/pk13055/code-mixed-hindienglish-dataset
English-French Translation Dataset,Linguistics,Inglés,09/02/2021,https://www.kaggle.com/dhruvildave/en-fr-translation-dataset
SMS Spam Collection Dataset,Linguistics,Inglés,02/12/2016,https://www.kaggle.com/uciml/sms-spam-collection-dataset
World Atlas of Language Structures,Linguistics,Inglés,08/09/2017,https://www.kaggle.com/rtatman/world-atlas-of-language-structures
Twitch Social Networks,Social Networks,Inglés,12/11/2019,https://www.kaggle.com/andreagarritano/twitch-social-networks
Real and Fake Face Detection,Social Networks,Inglés,14/01/2019,https://www.kaggle.com/ciplab/real-and-fake-face-detection
Mobile phone activity in a city,Social Networks,Inglés,14/11/2019,https://www.kaggle.com/marcodena/mobile-phone-activity
Organizational social networks,Social Networks,Inglés,02/04/2021,https://www.kaggle.com/michaelfire/organizational-social-networks
Youtube social network,Social Networks,Inglés,01/09/2019,https://www.kaggle.com/lodetomasi1995/youtube-social-network
Customer Support on Twitter,Social Networks,Inglés,04/12/2017,https://www.kaggle.com/thoughtvector/customer-support-on-twitter
Weibo Social Networks,Social Networks,Inglés,08/01/2020,https://www.kaggle.com/jm3402/weibo-social-networks
Australian Election 2019 Tweets,Social Networks,Inglés,21/05/2019,https://www.kaggle.com/taniaj/australian-election-2019-tweets
Facebook Ad Campaign,Social Networks,Inglés,11/01/2019,https://www.kaggle.com/madislemsalu/facebook-ad-campaign
US Election 2020 Tweets,Social Networks,Inglés,09/11/2020,https://www.kaggle.com/manchunhui/us-election-2020-tweets
Tourism Marketing Study,Tourism,Inglés,11/02/2021,https://www.kaggle.com/saurabhshahane/tourism-marketing-study
International tourism demographics,Tourism,Inglés,04/02/2021,https://www.kaggle.com/ayushggarg/international-tourism-demographics
Quarterly Tourism in Australia,Tourism,Inglés,01/02/2020,https://www.kaggle.com/luisblanche/quarterly-tourism-in-australia
Visitors to Taiwan By Residence,Tourism,Inglés,29/10/2018,https://www.kaggle.com/ceshine/taiwan-visitor-arrivals-by-residence
Quarterly Foreign Tourist Arrivals in India,Tourism,Inglés,17/10/2018,https://www.kaggle.com/navoneel/fta-data
US tourism,Tourism,Inglés,23/07/2017,https://www.kaggle.com/sprabakar/us-tourism
